"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible"
"18","7","10587","","84705","0","","",""
"18","6","10588","","84705","0","","",""
"23","1","10589","","50802","1","","",""
"74","10","1059","","71114","0","","",""
"23","6","10590","","50802","1","","",""
"23","9","10591","","50802","1","","",""
"23","7","10592","","50802","1","","",""
"23","8","10593","","50802","1","","",""
"23","9","10594","","50805","1","","",""
"23","6","10595","","50805","1","","",""
"23","7","10596","","50805","1","","",""
"23","8","10597","","50805","1","","",""
"23","1","10598","","50805","1","","",""
"23","8","10599","","50808","1","","",""
"88","7","106","","6003","0","","",""
"74","7","1060","","71114","0","","",""
"23","1","10600","","50808","1","","",""
"23","7","10601","","50808","1","","",""
"23","6","10602","","50808","1","","",""
"23","9","10603","","50808","1","","",""
"23","6","10604","","50811","1","","",""
"23","1","10605","","50811","1","","",""
"23","7","10606","","50811","1","","",""
"23","8","10607","","50811","1","","",""
"23","9","10608","","50811","1","","",""
"23","1","10609","","50816","1","","",""
"74","6","1061","","71114","0","","",""
"23","8","10610","","50816","1","","",""
"23","7","10611","","50816","1","","",""
"23","9","10612","","50816","1","","",""
"23","6","10613","","50816","1","","",""
"88","21","10614","","6117","0","","",""
"17","17","10615","","12035","0","","",""
"79","5","10616","","7027","0","","",""
"79","5","10617","","7116","1","","",""
"79","5","10618","","7112","1","","",""
"59","11","10619","","5101","0","","",""
"74","9","1062","","71702","0","","",""
"59","23","10620","","5101","0","","",""
"59","37","10621","","5101","0","","",""
"59","30","10622","","5101","0","","",""
"59","29","10623","","5101","0","","",""
"59","24","10624","","5101","0","","",""
"59","32","10625","","5101","0","","",""
"59","34","10626","","5101","0","","",""
"59","26","10627","","5101","0","","",""
"59","31","10628","","5101","0","","",""
"59","11","10629","","5092","1","","",""
"74","4","1063","","71106","0","","",""
"59","24","10630","","5092","1","","",""
"59","34","10631","","5092","1","","",""
"59","29","10632","","5092","1","","",""
"59","26","10633","","5092","1","","",""
"59","32","10634","","5092","1","","",""
"59","23","10635","","5092","1","","",""
"59","31","10636","","5092","1","","",""
"59","30","10637","","5092","1","","",""
"59","37","10638","","5092","1","","",""
"59","11","10639","","5040","1","","",""
"38","38","1064","","76203","1","","",""
"59","32","10640","","5034","1","","",""
"59","11","10641","","5028","1","","",""
"59","24","10642","","5034","1","","",""
"59","34","10643","","5060","1","","",""
"59","23","10644","","5034","1","","",""
"59","31","10645","","5028","1","","",""
"59","31","10646","","5002","1","","",""
"59","23","10647","","5028","1","","",""
"59","30","10648","","5002","1","","",""
"59","34","10649","","5002","1","","",""
"38","45","1065","","76203","1","","",""
"59","29","10650","","5006","1","","",""
"59","23","10651","","5020","1","","",""
"59","23","10652","","5002","1","","",""
"59","30","10653","","5020","1","","",""
"59","11","10654","","5020","1","","",""
"59","32","10655","","5040","1","","",""
"59","24","10656","","5002","1","","",""
"59","37","10657","","5040","1","","",""
"59","32","10658","","5002","1","","",""
"59","26","10659","","5060","1","","",""
"38","47","1066","","76203","1","","",""
"59","11","10660","","5002","1","","",""
"59","26","10661","","5002","1","","",""
"59","29","10662","","5002","1","","",""
"59","29","10663","","5060","1","","",""
"59","26","10664","","5034","1","","",""
"59","24","10665","","5028","1","","",""
"59","34","10666","","5034","1","","",""
"59","30","10667","","5060","1","","",""
"59","37","10668","","5028","1","","",""
"59","23","10669","","5060","1","","",""
"38","19","1067","","76203","1","","",""
"59","26","10670","","5028","1","","",""
"59","26","10671","","5076","1","","",""
"59","32","10672","","5028","1","","",""
"59","37","10673","","5002","1","","",""
"59","31","10674","","5052","1","","",""
"59","37","10675","","5052","1","","",""
"59","34","10676","","5024","1","","",""
"59","32","10677","","5006","1","","",""
"59","23","10678","","5014","1","","",""
"59","31","10679","","5014","1","","",""
"38","18","1068","","76203","1","","",""
"59","24","10680","","5014","1","","",""
"59","23","10681","","5006","1","","",""
"59","24","10682","","5024","1","","",""
"59","24","10683","","5006","1","","",""
"59","30","10684","","5014","1","","",""
"59","23","10685","","5052","1","","",""
"59","26","10686","","5014","1","","",""
"59","34","10687","","5014","1","","",""
"59","32","10688","","5014","1","","",""
"59","26","10689","","5052","1","","",""
"38","46","1069","","76801","1","","",""
"59","34","10690","","5006","1","","",""
"59","29","10691","","5084","1","","",""
